Day,Time,Lift,Vert Feet
2014-12-07,09:17:28,Moonbeam,675
2014-12-07,09:29:09,Eagle Express I,1500
2014-12-07,09:40:09,Eagle Express I,1500
2014-12-07,09:55:36,Eagle Express I,1500
2014-12-07,10:06:00,Eagle Express I,1500
2014-12-07,10:18:06,Eagle Express I,1500
2014-12-07,10:37:59,Apex,880
2014-12-07,10:45:55,Eagle Express I,1500
2014-12-07,10:56:40,Eagle Express I,1500
2014-12-07,11:12:10,Moonbeam,675
2014-12-07,11:19:23,Moonbeam,675
2014-12-07,11:26:55,Eagle Express I,1500
2014-12-07,11:37:41,Eagle Express I,1500
2014-12-14,09:24:58,Moonbeam,675
2014-12-14,09:33:22,Eagle Express I,1500
2014-12-14,09:44:58,Eagle Express I,1500
2014-12-14,09:58:21,Eagle Express I,1500
2014-12-14,10:10:56,Eagle Express I,1500
2014-12-14,10:25:42,Eagle Express I,1500
2014-12-14,10:38:59,Eagle Express I,1500
2014-12-14,10:50:16,Eagle Express I,1500
2014-12-14,11:03:54,Eagle Express I,1500
2014-12-14,11:15:21,Eagle Express I,1500
2014-12-14,11:28:00,Eagle Express I,1500
2014-12-14,11:43:04,Eagle Express I,1500
2014-12-14,12:01:00,Moonbeam,675
2014-12-14,12:08:53,Moonbeam,675
2014-12-17,12:18:54,Moonbeam,675
2014-12-17,12:27:32,Eagle Express I,1500
2014-12-17,12:38:25,Eagle Express I,1500
2014-12-17,12:54:08,Eagle Express I,1500
2014-12-17,13:05:24,Eagle Express I,1500
2014-12-17,13:16:25,Eagle Express I,1500
2014-12-17,13:27:39,Eagle Express I,1500
2014-12-17,13:45:15,Eagle Express I,1500
2014-12-17,13:58:24,Eagle Express I,1500
2014-12-17,14:09:42,Eagle Express I,1500
2014-12-21,12:29:26,Moonbeam,675
2014-12-21,12:39:21,Eagle Express I,1500
2014-12-21,12:55:15,Eagle Express I,1500
2014-12-21,13:10:21,Eagle Express I,1500
2014-12-28,09:27:33,Moonbeam,675
2014-12-28,09:35:44,Eagle Express I,1500
2014-12-28,09:47:54,Eagle Express I,1500
2014-12-28,10:03:29,Eagle Express I,1500
2014-12-28,10:15:55,Eagle Express I,1500
2014-12-28,10:29:54,Eagle Express I,1500
2014-12-28,10:42:10,Eagle Express I,1500
2014-12-28,10:54:49,Eagle Express I,1500
2014-12-28,11:06:56,Eagle Express I,1500
2014-12-28,11:19:33,Eagle Express I,1500
2014-12-28,11:37:38,Eagle Express I,1500
2014-12-28,11:53:48,Eagle Express I,1500
2014-12-30,09:33:34,Moonbeam,675
2014-12-30,09:48:54,Eagle Express I,1500
2015-01-02,14:12:14,Moonbeam,675
2015-01-02,14:22:12,Eagle Express I,1500
2015-01-04,12:24:12,Moonbeam,675
2015-01-04,12:32:06,Eagle Express I,1500
2015-01-04,12:43:01,Eagle Express I,1500
2015-01-04,12:58:24,Eagle Express I,1500
2015-01-04,13:09:22,Eagle Express I,1500
2015-01-04,13:20:57,Eagle Express I,1500
2015-01-04,13:32:06,Eagle Express I,1500
2015-01-04,13:43:26,Eagle Express I,1500
2015-01-04,14:01:06,Eagle Express I,1500
2015-01-04,14:12:04,Eagle Express I,1500
2015-01-04,14:23:10,Eagle Express I,1500
2015-01-04,14:35:59,Eagle Express I,1500
2015-01-07,13:07:52,Moonbeam,675
2015-01-07,13:15:02,Eagle Express I,1500
2015-01-07,13:26:39,Eagle Express I,1500
2015-01-07,13:37:08,Eagle Express I,1500
2015-01-07,13:50:56,Eagle Express I,1500
2015-01-07,14:01:47,Eagle Express I,1500
2015-01-07,14:12:23,Eagle Express I,1500
2015-01-07,14:22:55,Eagle Express I,1500
2015-01-07,14:36:02,Eagle Express I,1500
2015-01-07,14:46:26,Eagle Express I,1500
2015-01-07,15:00:43,Eagle Express I,1500
2015-01-11,09:22:12,Moonbeam,675
2015-01-11,09:29:08,Eagle Express I,1500
2015-01-11,09:40:11,Eagle Express I,1500
2015-01-11,09:54:42,Eagle Express I,1500
2015-01-11,10:06:06,Eagle Express I,1500
2015-01-11,10:17:44,Eagle Express I,1500
2015-01-11,10:32:19,Eagle Express I,1500
2015-01-11,10:44:08,Eagle Express I,1500
2015-01-11,10:55:33,Eagle Express I,1500
2015-01-11,11:10:02,Eagle Express I,1500
2015-01-15,12:48:04,Moonbeam,675
2015-01-15,12:55:33,Eagle Express I,1500
2015-01-15,13:09:02,Eagle Express I,1500
2015-01-15,13:19:13,Eagle Express I,1500
2015-01-15,13:50:32,Eagle Express I,1500
2015-01-15,14:00:45,Eagle Express I,1500
2015-01-15,14:11:11,Eagle Express I,1500
2015-01-15,14:42:16,Eagle Express I,1500
2015-01-15,14:52:34,Eagle Express I,1500
2015-01-15,15:03:08,Eagle Express I,1500
2015-01-15,15:13:25,Eagle Express I,1500
2015-01-15,15:24:02,Eagle Express I,1500
2015-01-15,15:35:15,Eagle Express I,1500
2015-01-23,12:33:57,Moonbeam,675
2015-01-23,12:41:12,Eagle Express I,1500
2015-01-23,12:54:42,Eagle Express I,1500
2015-01-23,13:05:05,Eagle Express I,1500
2015-01-23,13:15:35,Eagle Express I,1500
2015-01-23,13:25:56,Eagle Express I,1500
2015-01-23,13:47:07,Eagle Express I,1500
2015-01-23,13:57:27,Eagle Express I,1500
2015-01-23,14:08:12,Eagle Express I,1500
2015-01-23,14:18:50,Eagle Express I,1500
2015-01-23,14:32:16,Eagle Express I,1500
2015-01-23,14:46:51,Eagle Express I,1500
2015-01-23,14:57:04,Eagle Express I,1500
2015-01-25,12:58:13,Moonbeam,675
2015-01-25,13:05:13,Eagle Express I,1500
2015-01-25,13:15:56,Eagle Express I,1500
2015-01-25,13:27:27,Eagle Express I,1500
2015-02-01,11:47:11,Moonbeam,675
2015-02-01,11:55:21,Eagle Express I,1500
2015-02-01,12:10:50,Eagle Express I,1500
2015-02-01,12:22:03,Eagle Express I,1500
2015-02-01,12:32:56,Eagle Express I,1500
2015-02-01,12:43:47,Eagle Express I,1500
2015-02-01,13:00:16,Eagle Express I,1500
2015-02-01,13:11:06,Eagle Express I,1500
2015-02-01,13:21:37,Eagle Express I,1500
2015-02-01,13:33:07,Eagle Express I,1500
2015-02-11,11:55:08,Moonbeam,675
2015-02-11,12:02:53,Eagle Express I,1500
2015-02-11,12:13:14,Eagle Express I,1500
2015-02-11,12:23:32,Eagle Express I,1500
2015-02-11,13:02:24,Eagle Express I,1500
2015-02-11,13:13:09,Eagle Express I,1500
2015-02-11,13:23:34,Eagle Express I,1500
2015-02-11,13:34:18,Eagle Express I,1500
2015-02-11,13:45:30,Eagle Express I,1500
2015-02-11,13:59:56,Eagle Express I,1500
2015-02-11,14:10:41,Eagle Express I,1500
2015-02-11,14:21:05,Eagle Express I,1500
2015-02-11,14:31:50,Eagle Express I,1500
2015-02-11,14:42:46,Eagle Express I,1500
2015-02-20,12:17:35,Moonbeam,675
2015-02-20,12:25:10,Eagle Express I,1500
2015-02-20,12:36:56,Eagle Express I,1500
2015-02-20,12:53:44,Eagle Express I,1500
2015-02-20,13:05:50,Eagle Express I,1500
2015-02-20,13:17:21,Eagle Express I,1500
2015-02-20,13:41:28,Moonbeam,675
2015-02-20,13:49:07,Eagle Express I,1500
2015-02-20,14:00:02,Eagle Express I,1500
