Day,Time,Lift,Vert Feet
2013-11-17,11:42:51,Moonbeam,675
2013-11-17,11:55:06,Moonbeam,675
2013-11-28,13:12:39,Moonbeam,675
2013-11-28,13:20:06,Moonbeam,675
2013-11-28,13:27:55,Moonbeam,675
2013-11-28,13:36:33,Moonbeam,675
2013-11-28,13:48:36,Moonbeam,675
2013-11-28,14:09:46,Moonbeam,675
2013-11-28,14:19:28,Eagle Express I,1500
2013-11-28,14:34:36,Eagle Express I,1500
2013-11-28,14:46:31,Eagle Express I,1500
2013-12-06,13:34:28,Moonbeam,675
2013-12-06,13:42:45,Moonbeam,675
2013-12-06,13:50:21,Moonbeam,675
2013-12-06,13:58:31,Moonbeam,675
2013-12-06,14:06:19,Moonbeam,675
2013-12-06,14:14:54,Eagle Express I,1500
2013-12-06,14:26:57,Eagle Express I,1500
2013-12-06,14:46:12,Eagle Express I,1500
2013-12-06,14:57:51,Eagle Express I,1500
2013-12-08,12:26:56,Moonbeam,675
2013-12-08,12:36:58,Eagle Express I,1500
2013-12-08,12:59:30,Eagle Express I,1500
2013-12-08,13:46:16,Eagle Express I,1500
2013-12-08,13:58:21,Eagle Express I,1500
2013-12-08,14:09:58,Eagle Express I,1500
2013-12-08,14:22:18,Eagle Express I,1500
2013-12-08,14:34:15,Eagle Express I,1500
2013-12-13,13:06:05,Moonbeam,675
2013-12-13,13:14:32,Moonbeam,675
2013-12-13,13:22:14,Moonbeam,675
2013-12-13,13:31:17,Moonbeam,675
2013-12-13,13:38:51,Eagle Express I,1500
2013-12-13,13:50:11,Eagle Express I,1500
2013-12-13,14:14:52,Eagle Express I,1500
2013-12-13,14:25:35,Eagle Express I,1500
2013-12-13,14:36:17,Eagle Express I,1500
2013-12-13,14:48:27,Eagle Express I,1500
2013-12-13,15:03:39,Eagle Express I,1500
2013-12-13,15:18:29,Eagle Express I,1500
2013-12-13,15:29:34,Eagle Express I,1500
2013-12-13,15:41:01,Eagle Express I,1500
2013-12-13,15:52:58,Eagle Express I,1500
2013-12-15,13:08:40,Moonbeam,675
2013-12-15,13:17:47,Eagle Express I,1500
2013-12-15,13:34:44,Eagle Express I,1500
2013-12-15,13:44:59,Eagle Express I,1500
2013-12-15,13:55:47,Eagle Express I,1500
2013-12-15,14:12:01,Eagle Express I,1500
2013-12-15,14:34:31,Eagle Express I,1500
2013-12-15,14:44:40,Eagle Express I,1500
2013-12-15,14:55:09,Eagle Express I,1500
2013-12-15,15:05:04,Eagle Express I,1500
2013-12-15,15:15:24,Eagle Express I,1500
2013-12-15,15:25:24,Eagle Express I,1500
2013-12-15,15:35:40,Eagle Express I,1500
2013-12-15,15:46:07,Eagle Express I,1500
2013-12-20,13:30:01,Moonbeam,675
2013-12-20,13:39:22,Eagle Express I,1500
2013-12-20,13:51:58,Eagle Express I,1500
2013-12-20,14:03:44,Eagle Express I,1500
2013-12-20,14:15:41,Eagle Express I,1500
2013-12-20,14:27:29,Eagle Express I,1500
2013-12-22,13:39:04,Moonbeam,675
2013-12-22,13:47:23,Eagle Express I,1500
2013-12-22,13:58:39,Eagle Express I,1500
2013-12-22,14:14:18,Eagle Express I,1500
2013-12-22,14:25:39,Eagle Express I,1500
2013-12-22,15:12:47,Eagle Express I,1500
2013-12-22,15:24:06,Eagle Express I,1500
2013-12-22,15:35:00,Eagle Express I,1500
2013-12-22,15:46:37,Eagle Express I,1500
2013-12-24,09:21:53,Moonbeam,675
2013-12-24,09:28:28,Eagle Express I,1500
2013-12-24,09:39:34,Eagle Express I,1500
2013-12-24,09:49:59,Eagle Express I,1500
2013-12-24,10:04:36,Eagle Express I,1500
2013-12-24,10:16:12,Eagle Express I,1500
2013-12-24,10:57:26,Moonbeam,675
2013-12-24,11:04:23,Apex,880
2013-12-24,11:12:19,Apex,880
2013-12-24,11:21:07,Moonbeam,675
2013-12-25,09:07:37,Moonbeam,675
2013-12-25,09:13:56,Eagle Express I,1500
2013-12-25,09:23:20,Eagle Express I,1500
2013-12-25,09:33:33,Eagle Express I,1500
2013-12-25,09:43:14,Eagle Express I,1500
2013-12-25,09:57:57,Eagle Express I,1500
2013-12-25,10:07:59,Eagle Express I,1500
2013-12-25,10:17:29,Eagle Express I,1500
2013-12-25,10:32:27,Eagle Express I,1500
2013-12-25,10:47:39,Eagle Express I,1500
2013-12-25,10:57:02,Eagle Express I,1500
2013-12-25,11:08:55,Eagle Express I,1500
2013-12-25,11:19:38,Eagle Express I,1500
2013-12-25,11:29:31,Eagle Express I,1500
2013-12-25,11:38:50,Eagle Express I,1500
2013-12-29,10:05:25,Moonbeam,675
2013-12-29,10:13:47,Eagle Express I,1500
2013-12-29,10:23:45,Eagle Express I,1500
2013-12-29,10:38:20,Eagle Express I,1500
2013-12-29,10:47:49,Eagle Express I,1500
2013-12-29,11:01:39,Eagle Express I,1500
2013-12-29,11:12:54,Eagle Express I,1500
2013-12-29,11:23:43,Eagle Express I,1500
2013-12-29,11:36:33,Eagle Express I,1500
2013-12-29,11:47:11,Eagle Express I,1500
2014-01-01,13:39:02,Moonbeam,675
2014-01-01,13:48:45,Eagle Express I,1500
2014-01-01,14:00:09,Eagle Express I,1500
2014-01-01,14:10:00,Eagle Express I,1500
2014-01-11,09:01:30,Moonbeam,675
2014-01-11,09:10:28,Eagle Express I,1500
2014-01-11,09:21:06,Eagle Express I,1500
2014-01-11,09:31:49,Eagle Express I,1500
2014-01-11,09:41:51,Eagle Express I,1500
2014-01-11,09:51:20,Eagle Express I,1500
2014-01-11,10:05:23,Eagle Express I,1500
2014-01-11,10:15:40,Eagle Express I,1500
2014-01-11,10:24:31,Eagle Express I,1500
2014-01-11,10:49:20,Moonbeam,675
2014-01-11,10:55:39,Eagle Express I,1500
2014-01-11,11:09:36,Eagle Express I,1500
2014-01-11,11:19:16,Eagle Express I,1500
2014-01-11,11:30:14,Eagle Express I,1500
2014-01-11,11:41:52,Powderhorn,1116
2014-01-11,11:57:26,Eagle Express I,1500
2014-01-12,12:47:50,Moonbeam,675
2014-01-12,12:58:53,Eagle Express I,1500
2014-01-17,12:15:52,Moonbeam,675
2014-01-17,12:23:32,Eagle Express I,1500
2014-01-17,12:32:16,Eagle Express I,1500
2014-01-17,12:44:01,Eagle Express I,1500
2014-01-17,12:54:08,Eagle Express I,1500
2014-01-17,13:07:19,Eagle Express I,1500
2014-01-17,13:17:26,Eagle Express I,1500
2014-01-17,13:27:12,Eagle Express I,1500
2014-01-17,13:37:36,Eagle Express I,1500
2014-01-17,13:48:08,Eagle Express I,1500
2014-01-17,14:05:13,Eagle Express I,1500
2014-01-17,14:14:21,Eagle Express I,1500
2014-01-17,14:23:45,Eagle Express I,1500
2014-01-17,14:34:06,Eagle Express I,1500
2014-01-17,14:44:50,Eagle Express I,1500
2014-01-17,14:58:58,Eagle Express I,1500
2014-01-17,15:10:45,Eagle Express I,1500
