Day,Time,Lift,Vert Feet
2015-12-06,12:55:17,Moonbeam,675
2015-12-06,13:03:18,Moonbeam,675
2015-12-06,13:10:51,Moonbeam,675
2015-12-06,13:18:55,Moonbeam,675
2015-12-06,13:28:37,Moonbeam,675
2015-12-06,14:16:46,Moonbeam,675
2015-12-06,14:24:24,Moonbeam,675
2015-12-06,14:31:52,Moonbeam,675
2015-12-06,14:39:29,Moonbeam,675
2015-12-06,14:46:47,Moonbeam,675
2015-12-11,11:43:20,Moonbeam,675
2015-12-11,11:55:44,Eagle Express I,1500
2015-12-11,12:08:43,Eagle Express I,1500
2015-12-11,12:21:26,Eagle Express I,1500
2015-12-11,12:36:43,Eagle Express I,1500
2015-12-11,12:50:06,Eagle Express I,1500
2015-12-13,09:39:57,Moonbeam,675
2015-12-13,09:48:37,Moonbeam,675
2015-12-13,09:55:54,Moonbeam,675
2015-12-13,10:06:30,Moonbeam,675
2015-12-13,10:13:59,Eagle Express I,1500
2015-12-13,10:25:03,Eagle Express I,1500
2015-12-13,10:40:34,Eagle Express I,1500
2015-12-13,10:54:19,Moonbeam,675
2015-12-13,11:51:37,Moonbeam,675
2015-12-13,11:59:35,Eagle Express I,1500
2015-12-13,12:10:46,Eagle Express I,1500
2015-12-13,12:22:12,Eagle Express I,1500
2015-12-13,13:44:59,Moonbeam,675
2015-12-13,13:53:20,Eagle Express I,1500
2015-12-13,14:07:54,Eagle Express I,1500
2015-12-16,13:52:21,Moonbeam,675
2015-12-16,14:00:35,Eagle Express I,1500
2015-12-17,10:22:29,Moonbeam,675
2015-12-17,10:30:00,Moonbeam,675
2015-12-17,10:38:07,Eagle Express I,1500
2015-12-17,10:51:38,Eagle Express I,1500
2015-12-17,11:04:40,Eagle Express I,1500
2015-12-17,11:21:32,Eagle Express I,1500
2015-12-17,11:34:08,Eagle Express I,1500
2015-12-17,11:46:48,Eagle Express I,1500
2015-12-17,11:59:20,Eagle Express I,1500
2015-12-19,09:22:50,Moonbeam,675
2015-12-19,09:53:04,Moonbeam,675
